dept_name_raw,dept_code,dept_name,abbreviation,dept_major_code,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year
OFFICE OF CHILDREN AND FAMILIES (formerly known as OFFICE OF EDUCATION),66,Office of Children and Families,OCF,66,463413,0,0,0,0,0,0,463413,2023
OFFICE OF COMMUNITY EMPOWERMENT & OPPORTUNITY,08,Mayor's Office of Community Empowerment and Opportunity,CEO,08,177185,1714007,3808,0,0,0,0,1895000,2023
OFFICE OF HOMELESS SERVICES,24,Office of Homeless Services,OHS,24,9931274,58638836,344127,32421,0,0,0,68946658,2023
OFFICE OF HUMAN RESOURCES,56,Office of Human Resources,OHR,56,6042760,1306067,69432,0,0,0,0,7418259,2023
OFFICE OF INNOVATION AND TECHNOLOGY (Base),04,Office of Innovation and Technology,OIT,04,31377472,57268720,2986610,0,0,0,0,91632802,2023
OFFICE OF INNOVATION AND TECHNOLOGY - 911  (Div 14),04-911,OIT: 911,,04,1416547,20150466,8064399,0,0,0,0,29631412,2023
OFFICE OF PROPERTY ASSESSMENT,59,Office of Property Assessment,OPA,59,15569756,1926020,362600,0,0,0,0,17858376,2023
OFFICE OF SUSTAINABILITY,49,Office of Sustainability,Sustainability,49,971635,516366,1000,0,0,175000,0,1664001,2023
OFFICE OF THE CHIEF ADMINISTRATIVE OFFICER,65,Office of the Chief Administrative Officer,CAO,65,6368435,6427056,2082265,0,0,0,0,14877756,2023
OFFICE OF THE INSPECTOR GENERAL,48,Office of the Inspector General,OIG,48,2192863,97975,5225,0,0,0,0,2296063,2023
PARKS AND RECREATION,16,Department of Parks and Recreation,Parks & Recreation,16,61031936,7674442,2930025,1500000,0,0,0,73136403,2023
PLANNING & DEVELOPMENT,72,Department of Planning and Development,Planning & Development,72,5783913,21339463,89761,3000000,0,0,0,30213137,2023
POLICE,11,Police Department,Police,11,753577996,12917116,16549152,0,0,5000000,0,788044264,2023
PRISONS,23,Philadelphia Prison System,Prisons,23,135537939,104696211,4674595,1201757,0,0,0,246110502,2023
PROCUREMENT,38,Procurement Department,Procurement,38,3404302,3431115,39359,0,0,0,0,6874776,2023
PUBLIC HEALTH,14,Department of Public Health,Public Health,14,62755979,90784022,6746403,0,0,923404,0,161209808,2023
PUBLIC PROPERTY,20,Department of Public Property,Public Property,20,12050817,37608915,1338535,0,0,27184004,0,78182271,2023
PUBLIC PROPERTY - SEPTA SUBSIDY,20-SS,Public Property: SEPTA Subsidy,,20,0,100699000,0,0,0,0,0,100699000,2023
PUBLIC PROPERTY - SPACE RENTALS,20-SR,Public Property: Space Rentals,,20,0,33293144,0,0,0,0,0,33293144,2023
PUBLIC PROPERTY - UTILITIES,20-U,Public Property: Utilities,,20,0,32986853,0,0,0,0,0,32986853,2023
RECORDS,31,Department of Records,Records,31,3374335,758985,143758,0,0,0,0,4277078,2023
REGISTER OF WILLS,68,Register of Wills,,68,4309771,406959,140236,0,0,0,0,4856966,2023
REVENUE,36,Department of Revenue,Revenue,36,21927194,5106407,774976,0,0,0,0,27808577,2023
SHERIFF,70,Office of the Sheriff,Sheriff,70,28345027,1305267,1203507,0,0,0,0,30853801,2023
SINKING FUND COMMISSION (DEBT SERVICE),37,Sinking Fund Commission,Sinking Fund,37,0,115087498,0,0,193710223,0,0,308797721,2023
STREETS (Excl. Disposal),12,Streets Department,Streets,12,122676329,17725345,21994981,53171,0,0,0,162449826,2023
STREETS - Disposal  (Class 0205 in Divisions 01 and 02),12-D,Streets: Disposal,,12,0,55389886,0,0,0,0,0,55389886,2023
